conjecture_id,status,validation_status,score_variant,counterexample_g6,order,size,counter_x,counter_y,violation_margin,cost,execution_time_seconds
886,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,Bo,3,2,2.0,0.0,1.0,0.0185,0.0185
980,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,1.5,0.0099,0.0099
981,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,1.0,0.0116,0.0116
1177,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,1.0,0.0,0.8,0.013,0.013
1178,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,1.0,0.0,0.6,0.0068,0.0068
1191,NOT_FOUND,NOT_FOUND,v0_violation_pure,@,1,0,1.0,0.0,-3.225551,120.0,60.0015
1466,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,Bo,3,2,1.0,2.0,0.486714,0.0143,0.0143
1566,NOT_FOUND,NOT_FOUND,v7_dense_clique,Q~~~~~~~~~~~~~~~~~~~~~~~~~w,18,153,2.0,1.0,0.0,120.0,60.015
1587,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,1.0,0.0,0.333333,0.0132,0.0132
1588,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,Tk_?@?K?`C@??@?a????A??C?G??B???G??@,21,21,12.0,9.0,1.0,4.8811,4.8811
1600,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,1.0,0.0,0.333333,0.0129,0.0129
1601,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,NBe?A@??go?@?@?A??O,15,15,9.0,6.0,1.0,1.5141,1.5141
1708,NOT_FOUND,NOT_FOUND,v7_dense_clique,Q~~~~~~~~~~~~~~~~~~~~~~~~~w,18,153,1.0,2.0,0.0,120.0,60.0037
1880,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,4.0,0.0094,0.0094
1891,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,0.5,0.0076,0.0076
2041,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,1.0,0.0,1.0,0.0089,0.0089
2051,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,1.0,0.0,1.0,0.0116,0.0116
2117,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,8.343857,0.0092,0.0092
2120,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,0.5,0.0109,0.0109
2121,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,N?A?Iso?I????B??G?G,15,14,6.0,9.0,1.0,2.1295,2.1295
4247,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,1.0,1.0,4.0,0.0073,0.0073
4668,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,8.343857,0.0068,0.0068
4712,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,1.0,1.0,1.0,0.0076,0.0076
5952,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,RTk_HG@Pa__C?_A?A@@IA?WG?A??GG,19,32,5.0,8.0,1.0,1.4838,1.4838
5994,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,9.772429,0.0301,0.0301
5996,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,6.172429,0.0334,0.0334
5998,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,3.772429,0.0293,0.0293
6000,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,9.772429,0.0304,0.0304
6179,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,LK|koCB?GAc??@,13,20,6.0,3.076923,0.173077,0.6662,0.6662
6180,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,0.0,0.444444,0.0293,0.0293
6181,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,0.0,0.166667,0.0301,0.0301
6182,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,0.0,0.567017,0.0274,0.0274
6267,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,O~}HA@@?OA_@?D@?????B,16,25,3.125,6.0,0.214286,0.8073,0.8073
6268,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,0.0,1.0,0.0226,0.0226
6269,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,0.0,0.324324,0.0246,0.0246
6272,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,1.4,0.0334,0.0334
6278,NOT_FOUND,NOT_FOUND,v0_violation_pure,@,1,0,0.0,1.0,-0.217965,120.0,60.0003
6352,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,1.0,0.0,0.777778,0.0238,0.0238
6574,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,T~z|nz|c_ceZRnzn~lfzfRgvlbxs}OBP??C_,21,120,3.0,5.0,1.0,0.8194,0.8194
6582,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,TmC??C@s?G???A?@_??G@????CGC?O?_A?_?,21,23,12.0,10.0,1.0,17.1625,17.1625
6903,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,R_CGGC@?W?g?G@C??CC????C_???AG,19,19,9.0,11.0,1.0,2.7905,2.7905
688,NOT_FOUND,NOT_FOUND,v2_structure_guided,@,1,0,0.0,0.0,0.0,120.0,60.0034
713,NOT_FOUND,NOT_FOUND,v0_violation_pure,A_,2,1,1.0,1.0,-0.109157,120.0,60.0007
737,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,A_,2,1,1.0,0.0,0.933981,0.0069,0.0069
1021,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,LlX]WuvUpeXfrN,13,46,7.076923,46.0,0.730769,1.3989,1.3989
1337,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,Mb^Szjhhz]S|ZofF_,14,55,64.0,7.857143,0.012698,1.5676,1.5676
1591,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,1.0,0.0,0.455357,0.0074,0.0074
1729,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,1.0,0.0,0.36,0.0098,0.0098
1793,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,1.0,0.0,0.2749,0.0077,0.0077
1892,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,NBc?CA?@GC???@?A_AO,15,14,5.0,8.0,1.0,0.7978,0.7978
1917,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,0.0,0.438462,0.0064,0.0064
1919,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,0.0,0.309441,0.0093,0.0093
2129,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,0.0,0.438462,0.0067,0.0067
2131,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,0.0,0.309441,0.0074,0.0074
2252,NOT_FOUND,NOT_FOUND,v0_violation_pure,@,1,0,0.0,1.0,-6.189771,120.0,60.0008
2882,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,Bo,3,2,4.0,2.0,0.25,0.0072,0.0072
3144,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,5.666667,0.009,0.009
3157,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,0.0,11.8,0.0118,0.0118
3191,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,0.0,6.333333,0.0153,0.0153
3193,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,0.0,11.8,0.0152,0.0152
3368,NOT_FOUND,NOT_FOUND,v0_violation_pure,@,1,0,1.0,0.0,-0.028695,120.0,60.0002
3384,NOT_FOUND,NOT_FOUND,v0_violation_pure,@,1,0,1.0,0.0,-0.028695,120.0,60.0153
3550,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,Ez~w,6,14,0.0,16.0,1.25739,0.1262,0.1262
3961,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,SnX}Z^^ooQnbwcqfsJPO]mJuoi{bpx^Dg,20,105,0.0,10.5,0.085978,2.5411,2.5411
3979,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,6.211972,0.0061,0.0061
4288,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,1.0,0.0,1.513713,0.0082,0.0082
5381,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,A_,2,1,1.0,1.0,0.478469,0.0072,0.0072
5421,NOT_FOUND,NOT_FOUND,v0_violation_pure,@,1,0,1.0,1.0,-0.984531,120.0,60.0009
5968,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,1.0,0.0,0.374264,0.0229,0.0229
5983,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,1.0,0.0,0.287321,0.0224,0.0224
6011,NOT_FOUND,NOT_FOUND,v0_violation_pure,@,1,0,0.0,1.0,-0.307246,120.0,60.0011
6013,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,0.737323,0.02,0.02
6020,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,0.0,0.334774,0.0236,0.0236
6124,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,0.711864,0.022,0.022
6270,NOT_FOUND,NOT_FOUND,v0_violation_pure,@,1,0,0.0,0.0,-1.496066,120.0,60.0038
6351,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,1.0,0.0,1.297537,0.0248,0.0248
6466,NOT_FOUND,NOT_FOUND,v0_violation_pure,@,1,0,0.0,0.0,-6.035871,120.0,60.0018
6472,NOT_FOUND,NOT_FOUND,v0_violation_pure,@,1,0,0.0,0.0,-5.935169,120.0,60.001
6617,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,1.0,0.0,0.371536,0.0256,0.0256
7205,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,P~~~wV}C@?C@?O?O_?G?DCC?,17,42,544.0,1872.0,64.307692,0.4889,0.4889
7206,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,Px}WxdBOI||A`D`wwfZbpKTc,17,67,1066.0,4248.0,667.4,0.4182,0.4182
7212,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,N~~~wGD?GAo?_@??_?g,15,33,360.0,1050.0,7.777778,0.3519,0.3519
7213,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,L~gjYCPNng]LeK,13,41,540.0,1780.0,186.266667,0.4297,0.4297
7565,NOT_FOUND,NOT_FOUND,v0_violation_pure,@,1,0,0.0,0.0,-228.893811,120.0,60.0003
7566,NOT_FOUND,NOT_FOUND,v0_violation_pure,@,1,0,0.0,0.0,-242.591421,120.0,60.0003
7694,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,0.0,0.352706,0.0246,0.0246
7695,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,0.0,0.30606,0.0206,0.0206
7703,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,0.0,0.216138,0.0229,0.0229
7711,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,11.387247,0.0225,0.0225
7712,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,6.974374,0.0217,0.0217
7713,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,7.581094,0.0219,0.0219
7718,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,0.0,5.324366,0.0215,0.0215
7719,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,0.0,5.976085,0.0212,0.0212
7732,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,RB]Q||Y`{my~`v~Zqjw?Pdvwh@G?D?,19,88,0.0,14.0,2.272587,0.414,0.414
7734,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,T~~~~n~?PG~W||~w_Bf~E?Gf~b^~ennMjK`V,21,133,0.0,12.666667,2.509063,0.4261,0.4261
7743,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,3.462416,0.0235,0.0235
7753,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,5.082683,0.0205,0.0205
7773,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,1.0,3.462416,0.0209,0.0209
7811,NOT_FOUND,NOT_FOUND,v0_violation_pure,@,1,0,0.0,0.0,-11.186965,120.0,60.0023
7813,FOUND,VALID_COUNTEREXAMPLE,v8_final_mixed,@,1,0,0.0,0.0,62.771538,0.0332,0.0332
